Month-Year,SENADOR,VALOR_REEMBOLSADO,Contagem_Mes
2009-05-01,GERSON CAMATA,5751.99,2
2009-05-01,GILBERTO GOELLNER,16522.3,2
2009-05-01,GILVAM BORGES,15000.0,2
2009-05-01,GIM ARGELLO,2000.0,2
2009-05-01,HERÁCLITO FORTES,9112.31,2
2009-05-01,IDELI SALVATTI,15195.0,2
2009-05-01,INÁCIO ARRUDA,20639.190000000002,2
2009-05-01,JARBAS VASCONCELOS,14234.03,2
2009-05-01,JAYME CAMPOS,16369.75,2
2009-05-01,JOSÉ AGRIPINO,8738.25,2
2009-05-01,JOSÉ NERY,14884.25,2
2009-05-01,JOSÉ SARNEY,5000.0,2
2009-05-01,JOÃO DURVAL,15827.43,2
2009-05-01,JOÃO PEDRO,4233.400000000001,2
2009-05-01,JOÃO RIBEIRO,22393.47,2
2009-05-01,JOÃO VICENTE CLAUDINO,14960.48,2
2009-05-01,KÁTIA ABREU,15000.0,2
2009-05-01,LEOMAR QUINTANILHA,3022.0,2
2009-05-01,LOBÃO FILHO,15015.0,2
2009-05-01,LÚCIA VÂNIA,15032.9,2
2009-05-01,MAGNO MALTA,12375.53,2
2009-05-01,MARCELO CRIVELLA,12319.75,2
2009-05-01,MARCONI PERILLO,14945.469999999998,2
2009-05-01,MARIA DO CARMO ALVES,5320.91,2
2009-05-01,MARINA SILVA,7635.63,2
2009-05-01,MARISA SERRANO,15003.03,2
2009-05-01,MOZARILDO CAVALCANTI,8465.74,2
2009-05-01,MÁRIO COUTO,18080.93,2
2009-05-01,MÃO SANTA,14990.119999999999,2
2009-05-01,NEUTO DE CONTO,12165.289999999999,2
2009-05-01,OSMAR DIAS,12664.060000000001,2
2009-05-01,PAPALÉO PAES,10702.0,2
2009-05-01,PATRÍCIA SABOYA GOMES,12265.41,2
2009-05-01,PAULO DUQUE,9926.9,2
2009-05-01,PAULO PAIM,8199.52,2
2009-05-01,RAIMUNDO COLOMBO,15000.0,2
2009-05-01,RENAN CALHEIROS,6367.639999999999,2
2009-05-01,RENATO CASAGRANDE,15000.46,2
2009-05-01,ROBERTO CAVALCANTI,2500.0,2
2009-05-01,ROMERO JUCÁ,10955.49,2
2009-05-01,ROMEU TUMA,7860.790000000001,2
2009-05-01,ROSALBA CIARLINI,14533.07,2
2009-05-01,SERYS SLHESSARENKO,14061.82,2
2009-05-01,SÉRGIO GUERRA,12360.44,2
2009-05-01,SÉRGIO ZAMBIASI,7971.31,2
2009-05-01,TASSO JEREISSATI,3165.0,1
2009-05-01,TIÃO VIANA,10855.07,2
2009-05-01,VALDIR RAUPP,13382.5,2
2009-05-01,VALTER PEREIRA,14111.199999999999,2
2009-05-01,WELLINGTON SALGADO DE OLIVEIRA,9470.619999999999,2
2009-06-01,ADELMIR SANTANA,1480.81,3
2009-06-01,ALMEIDA LIMA,10197.39,3
2009-06-01,ALOIZIO MERCADANTE,11266.48,3
2009-06-01,ANTONIO CARLOS JUNIOR,10876.35,3
